Date,portfolio_value
2021-07-29,9946.539410955003
2021-07-30,9761.265753241678
2021-08-02,9916.772303389693
2021-08-03,10096.968230814755
2021-08-04,10355.180033026476
2021-08-05,10233.794980202649
2021-08-06,10135.547807613057
2021-08-09,10234.838902987858
2021-08-10,10240.722012365297
2021-08-11,10420.71464009391
2021-08-12,10544.651358124249
2021-08-13,10527.15165033394
2021-08-16,10430.428355912005
2021-08-17,10256.065970520882
2021-08-18,10112.595328343148
2021-08-19,10089.79035156075
2021-08-20,10200.50845781989
2021-08-23,10338.092113978748
2021-08-24,10544.695618261427
2021-08-25,10633.756170756515
2021-08-26,10505.344472382221
2021-08-27,10595.391358730227
2021-08-30,10678.089249244898
2021-08-31,10569.971327127896
2021-09-01,10683.890355487436
2021-09-02,10731.032103040692
2021-09-03,10807.710523364445
2021-09-07,10696.466137967987
2021-09-08,10532.842569572616
2021-09-09,10643.085294634635
2021-09-10,10630.192628545516
2021-09-13,10599.808615847223
2021-09-14,10522.86275103026
2021-09-15,10638.108971221758
2021-09-16,10852.555292424402
2021-09-17,10812.951912306118
2021-09-20,10559.674279351726
2021-09-21,10728.460199760024
2021-09-22,10746.83755537181
2021-09-23,10789.148763212224
2021-09-24,10697.192717170665
2021-09-27,10702.18995434496
2021-09-28,10347.199808675947
2021-09-29,10203.994822610985
2021-09-30,10083.044113324862
2021-10-01,10127.455112888383
2021-10-04,9826.4988063526
2021-10-05,9954.553115280243
2021-10-06,9973.206866482837
2021-10-07,10182.53438647787
2021-10-08,10098.19763669911
2021-10-11,9898.923676789856
2021-10-12,9942.7081177035
2021-10-13,10063.658846450295
2021-10-14,10233.757281764521
2021-10-15,10286.30535900213
2021-10-18,10433.854017705948
2021-10-19,10543.729779941392
2021-10-20,10509.490131718285
2021-10-21,10637.48727911867
2021-10-22,10583.103495602094
2021-10-25,10782.720448463693
2021-10-26,10879.345410174983
2021-10-27,10670.347095384153
2021-10-28,11003.725269257964
2021-10-29,11060.615999554682
2021-11-01,11156.46232167095
2021-11-02,11179.16570824335
2021-11-03,11259.74895566936
2021-11-04,11432.496598980984
2021-11-05,11350.233917404108
2021-11-08,11461.112398106297
2021-11-09,11533.837235876583
2021-11-10,11226.017164476905
2021-11-11,11417.257425808559
2021-11-12,11726.26364340217
2021-11-15,11591.501992378815
2021-11-16,11799.525950490686
2021-11-17,11643.250142643063
2021-11-18,11686.454341670365
2021-11-19,11802.619061961812
2021-11-22,11573.703483964706
2021-11-23,11490.79836054077
2021-11-24,11663.808290622075
2021-11-26,11435.606574396981
2021-11-29,11546.56019279949
2021-11-30,11142.877937347213
2021-12-01,10833.456671968814
2021-12-02,10873.605258595822
2021-12-03,10573.49886148976
2021-12-06,10541.854457184727
2021-12-07,10957.04329651632
2021-12-08,10920.26516911232
2021-12-09,10596.304272081768
2021-12-10,10299.558128291
2021-12-13,10190.170711226154
2021-12-14,10146.384575361031
2021-12-15,10375.324780659183
2021-12-16,9990.242087802584
2021-12-17,10128.454175547598
2021-12-20,9942.395055367931
2021-12-21,10328.47220056456
2021-12-22,10352.362373737145
2021-12-23,10568.072237585526
2021-12-27,10642.17425447642
2021-12-28,10506.716784070162
2021-12-29,10423.338565146838
2021-12-30,10498.154429466007
2021-12-31,10406.021502776344
2022-01-03,10486.978176696877
2022-01-04,10437.139327291725
2022-01-05,9940.35079667838
2022-01-06,10068.524613914653
2022-01-07,9970.838683912927
2022-01-10,9969.390558403495
2022-01-11,10132.05501497925
2022-01-12,10034.260884295396
2022-01-13,9755.332231602457
2022-01-14,9668.205363465053
2022-01-18,9291.219186318891
2022-01-19,9161.113586722064
2022-01-20,8999.95218447443
2022-01-21,8685.307713486287
2022-01-24,8943.793460680205
2022-01-25,8713.718752952547
2022-01-26,8699.979140649224
